Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
37,37,6,6,32,32,3,Train/3/00003_00004_00011.png
36,36,5,5,31,30,3,Train/3/00003_00004_00012.png
37,37,5,6,31,32,3,Train/3/00003_00004_00013.png
37,37,5,5,32,32,3,Train/3/00003_00004_00014.png
39,40,5,6,33,34,3,Train/3/00003_00004_00015.png
40,41,5,6,35,36,3,Train/3/00003_00004_00016.png
42,42,6,6,37,37,3,Train/3/00003_00004_00017.png
44,44,6,6,39,39,3,Train/3/00003_00004_00018.png
46,45,6,5,41,39,3,Train/3/00003_00004_00019.png
46,47,5,6,41,42,3,Train/3/00003_00004_00020.png
49,49,6,6,44,44,3,Train/3/00003_00004_00021.png
51,51,5,6,45,46,3,Train/3/00003_00004_00022.png
53,52,6,5,47,46,3,Train/3/00003_00004_00023.png
54,55,5,5,48,49,3,Train/3/00003_00004_00024.png
57,57,6,5,52,52,3,Train/3/00003_00004_00025.png
59,60,6,6,54,55,3,Train/3/00003_00004_00026.png
61,63,6,5,56,58,3,Train/3/00003_00004_00027.png
70,71,7,7,64,65,3,Train/3/00003_00004_00028.png
72,74,6,7,66,68,3,Train/3/00003_00004_00029.png
30,29,6,5,25,24,3,Train/3/00003_00005_00000.png
30,30,6,6,25,25,3,Train/3/00003_00005_00001.png
31,32,6,6,26,26,3,Train/3/00003_00005_00002.png
32,32,6,6,27,27,3,Train/3/00003_00005_00003.png
32,33,5,6,26,27,3,Train/3/00003_00005_00004.png
33,33,6,6,28,28,3,Train/3/00003_00005_00005.png
33,33,5,5,28,28,3,Train/3/00003_00005_00006.png
35,33,6,5,29,28,3,Train/3/00003_00005_00007.png
35,35,6,6,30,30,3,Train/3/00003_00005_00008.png
35,35,6,5,30,29,3,Train/3/00003_00005_00009.png
36,35,6,5,31,30,3,Train/3/00003_00005_00010.png
36,36,6,6,31,31,3,Train/3/00003_00005_00011.png
38,38,6,6,33,33,3,Train/3/00003_00005_00012.png
39,38,6,5,33,32,3,Train/3/00003_00005_00013.png
39,39,5,5,34,34,3,Train/3/00003_00005_00014.png
40,41,6,6,35,35,3,Train/3/00003_00005_00015.png
40,41,5,6,35,36,3,Train/3/00003_00005_00016.png
40,40,5,5,35,35,3,Train/3/00003_00005_00017.png
41,41,5,5,35,35,3,Train/3/00003_00005_00018.png
41,41,5,5,36,36,3,Train/3/00003_00005_00019.png
42,43,5,5,37,37,3,Train/3/00003_00005_00020.png
45,45,5,5,40,40,3,Train/3/00003_00005_00021.png
46,46,6,5,41,40,3,Train/3/00003_00005_00022.png
48,48,6,6,43,42,3,Train/3/00003_00005_00023.png
49,47,5,5,44,42,3,Train/3/00003_00005_00024.png
48,48,5,5,43,43,3,Train/3/00003_00005_00025.png
51,51,6,6,46,46,3,Train/3/00003_00005_00026.png
55,55,6,6,50,49,3,Train/3/00003_00005_00027.png
56,55,5,5,51,50,3,Train/3/00003_00005_00028.png
62,59,6,5,57,54,3,Train/3/00003_00005_00029.png
43,46,5,6,38,41,3,Train/3/00003_00006_00000.png
44,47,6,6,39,41,3,Train/3/00003_00006_00001.png
44,46,5,5,39,41,3,Train/3/00003_00006_00002.png
44,47,5,5,39,42,3,Train/3/00003_00006_00003.png
45,48,5,6,40,43,3,Train/3/00003_00006_00004.png
46,48,5,5,41,43,3,Train/3/00003_00006_00005.png
47,49,5,6,41,44,3,Train/3/00003_00006_00006.png
48,49,6,5,43,44,3,Train/3/00003_00006_00007.png
50,52,6,6,45,47,3,Train/3/00003_00006_00008.png
51,52,6,5,46,46,3,Train/3/00003_00006_00009.png
52,54,6,6,47,49,3,Train/3/00003_00006_00010.png
52,55,5,6,46,50,3,Train/3/00003_00006_00011.png
53,55,5,5,47,50,3,Train/3/00003_00006_00012.png
53,56,5,5,48,51,3,Train/3/00003_00006_00013.png
54,58,5,6,49,53,3,Train/3/00003_00006_00014.png
57,59,6,5,51,53,3,Train/3/00003_00006_00015.png
58,60,6,5,53,55,3,Train/3/00003_00006_00016.png
59,63,6,6,54,57,3,Train/3/00003_00006_00017.png
61,64,6,6,56,59,3,Train/3/00003_00006_00018.png
62,67,5,6,56,61,3,Train/3/00003_00006_00019.png
63,70,5,7,58,64,3,Train/3/00003_00006_00020.png
68,71,7,6,62,65,3,Train/3/00003_00006_00021.png
70,73,7,6,63,67,3,Train/3/00003_00006_00022.png
72,80,7,8,66,73,3,Train/3/00003_00006_00023.png
73,83,6,8,67,76,3,Train/3/00003_00006_00024.png
76,84,7,7,70,77,3,Train/3/00003_00006_00025.png
80,88,8,8,73,80,3,Train/3/00003_00006_00026.png
82,91,7,8,75,83,3,Train/3/00003_00006_00027.png
86,96,8,9,79,88,3,Train/3/00003_00006_00028.png
92,100,9,8,84,92,3,Train/3/00003_00006_00029.png
27,28,5,6,22,23,3,Train/3/00003_00007_00000.png
27,27,5,5,22,22,3,Train/3/00003_00007_00001.png
29,28,6,5,23,22,3,Train/3/00003_00007_00002.png
29,28,6,5,24,23,3,Train/3/00003_00007_00003.png
28,29,5,6,23,24,3,Train/3/00003_00007_00004.png
30,30,6,6,25,25,3,Train/3/00003_00007_00005.png
30,30,6,6,25,25,3,Train/3/00003_00007_00006.png
29,30,5,5,24,25,3,Train/3/00003_00007_00007.png
31,32,6,6,26,26,3,Train/3/00003_00007_00008.png
31,31,6,5,26,26,3,Train/3/00003_00007_00009.png
34,33,6,5,29,28,3,Train/3/00003_00007_00010.png
33,33,6,5,28,28,3,Train/3/00003_00007_00011.png
33,34,5,5,28,29,3,Train/3/00003_00007_00012.png
35,35,6,5,30,30,3,Train/3/00003_00007_00013.png
36,36,6,6,31,31,3,Train/3/00003_00007_00014.png
36,37,5,5,31,32,3,Train/3/00003_00007_00015.png
37,39,5,6,32,34,3,Train/3/00003_00007_00016.png
39,39,6,5,34,34,3,Train/3/00003_00007_00017.png
39,41,5,6,34,36,3,Train/3/00003_00007_00018.png
41,42,6,6,36,37,3,Train/3/00003_00007_00019.png
42,44,5,6,37,39,3,Train/3/00003_00007_00020.png
44,45,5,5,39,40,3,Train/3/00003_00007_00021.png
47,49,5,6,41,44,3,Train/3/00003_00007_00022.png
48,51,5,6,43,46,3,Train/3/00003_00007_00023.png
52,52,6,5,47,47,3,Train/3/00003_00007_00024.png
54,56,5,5,48,50,3,Train/3/00003_00007_00025.png
56,60,5,6,50,54,3,Train/3/00003_00007_00026.png
60,63,6,6,55,58,3,Train/3/00003_00007_00027.png
68,70,6,6,62,64,3,Train/3/00003_00007_00028.png
74,80,6,7,68,73,3,Train/3/00003_00007_00029.png
28,28,5,5,23,23,3,Train/3/00003_00008_00000.png
29,28,6,5,24,23,3,Train/3/00003_00008_00001.png
29,31,5,6,24,26,3,Train/3/00003_00008_00002.png
29,29,6,5,24,24,3,Train/3/00003_00008_00003.png
30,30,5,5,25,25,3,Train/3/00003_00008_00004.png
30,30,5,5,25,25,3,Train/3/00003_00008_00005.png
30,30,5,5,25,25,3,Train/3/00003_00008_00006.png
32,33,5,6,27,28,3,Train/3/00003_00008_00007.png
35,35,6,6,30,30,3,Train/3/00003_00008_00008.png
35,35,6,6,30,30,3,Train/3/00003_00008_00009.png
36,36,6,6,31,31,3,Train/3/00003_00008_00010.png
36,37,5,5,31,32,3,Train/3/00003_00008_00011.png
36,37,5,5,31,32,3,Train/3/00003_00008_00012.png
38,38,6,5,33,33,3,Train/3/00003_00008_00013.png
38,38,5,5,33,33,3,Train/3/00003_00008_00014.png
40,41,5,6,35,36,3,Train/3/00003_00008_00015.png
42,42,5,5,37,37,3,Train/3/00003_00008_00016.png
45,45,6,6,40,40,3,Train/3/00003_00008_00017.png
46,47,5,6,41,42,3,Train/3/00003_00008_00018.png
47,47,5,5,42,42,3,Train/3/00003_00008_00019.png
50,51,5,6,45,46,3,Train/3/00003_00008_00020.png
54,54,5,5,49,49,3,Train/3/00003_00008_00021.png
57,58,5,5,52,53,3,Train/3/00003_00008_00022.png
59,60,5,5,54,55,3,Train/3/00003_00008_00023.png
63,67,6,6,58,61,3,Train/3/00003_00008_00024.png
73,77,6,7,67,71,3,Train/3/00003_00008_00025.png
81,85,7,8,74,78,3,Train/3/00003_00008_00026.png
92,95,9,9,84,87,3,Train/3/00003_00008_00027.png
104,107,10,10,95,98,3,Train/3/00003_00008_00028.png
124,131,10,12,114,120,3,Train/3/00003_00008_00029.png
28,30,5,6,23,25,3,Train/3/00003_00009_00000.png
29,31,6,6,24,26,3,Train/3/00003_00009_00001.png
28,31,5,6,23,26,3,Train/3/00003_00009_00002.png
30,29,6,5,25,24,3,Train/3/00003_00009_00003.png
29,31,5,6,24,26,3,Train/3/00003_00009_00004.png
29,31,5,5,24,26,3,Train/3/00003_00009_00005.png
31,31,6,5,26,26,3,Train/3/00003_00009_00006.png
32,33,6,5,27,28,3,Train/3/00003_00009_00007.png
35,34,6,5,30,29,3,Train/3/00003_00009_00008.png
35,34,6,5,30,29,3,Train/3/00003_00009_00009.png
35,34,6,5,30,29,3,Train/3/00003_00009_00010.png
35,34,6,5,30,29,3,Train/3/00003_00009_00011.png
35,35,5,5,30,30,3,Train/3/00003_00009_00012.png
37,38,6,6,32,33,3,Train/3/00003_00009_00013.png
37,36,6,5,32,31,3,Train/3/00003_00009_00014.png
39,40,6,6,34,35,3,Train/3/00003_00009_00015.png
40,40,6,6,35,35,3,Train/3/00003_00009_00016.png
42,43,6,6,37,38,3,Train/3/00003_00009_00017.png
43,44,5,5,38,39,3,Train/3/00003_00009_00018.png
44,45,6,6,39,40,3,Train/3/00003_00009_00019.png
46,47,5,5,41,42,3,Train/3/00003_00009_00020.png
47,48,5,5,42,43,3,Train/3/00003_00009_00021.png
50,52,5,5,45,47,3,Train/3/00003_00009_00022.png
54,54,6,5,49,49,3,Train/3/00003_00009_00023.png
55,56,5,5,50,51,3,Train/3/00003_00009_00024.png
59,61,6,5,54,56,3,Train/3/00003_00009_00025.png
63,64,6,5,58,59,3,Train/3/00003_00009_00026.png
69,73,7,7,63,67,3,Train/3/00003_00009_00027.png
75,80,6,7,69,73,3,Train/3/00003_00009_00028.png
82,86,7,7,75,79,3,Train/3/00003_00009_00029.png
27,28,6,6,22,23,3,Train/3/00003_00010_00000.png
27,28,5,6,22,23,3,Train/3/00003_00010_00001.png
28,28,6,6,23,23,3,Train/3/00003_00010_00002.png
30,31,6,6,25,26,3,Train/3/00003_00010_00003.png
30,30,5,5,25,25,3,Train/3/00003_00010_00004.png
31,30,6,5,26,25,3,Train/3/00003_00010_00005.png
32,31,6,5,27,26,3,Train/3/00003_00010_00006.png
32,34,6,6,27,29,3,Train/3/00003_00010_00007.png
32,35,5,6,27,30,3,Train/3/00003_00010_00008.png
33,35,6,6,28,30,3,Train/3/00003_00010_00009.png
34,34,6,6,29,29,3,Train/3/00003_00010_00010.png
36,35,6,5,31,30,3,Train/3/00003_00010_00011.png
36,36,5,5,31,31,3,Train/3/00003_00010_00012.png
37,39,5,6,32,34,3,Train/3/00003_00010_00013.png
38,39,5,5,33,34,3,Train/3/00003_00010_00014.png
39,41,5,5,34,36,3,Train/3/00003_00010_00015.png
39,41,5,5,34,36,3,Train/3/00003_00010_00016.png
43,44,6,5,38,39,3,Train/3/00003_00010_00017.png
45,46,6,6,40,41,3,Train/3/00003_00010_00018.png
48,48,6,5,43,43,3,Train/3/00003_00010_00019.png
50,54,5,6,45,49,3,Train/3/00003_00010_00020.png
54,56,6,6,49,51,3,Train/3/00003_00010_00021.png
57,57,6,6,52,52,3,Train/3/00003_00010_00022.png
63,65,6,6,58,60,3,Train/3/00003_00010_00023.png
68,71,6,7,62,65,3,Train/3/00003_00010_00024.png
75,80,6,8,69,73,3,Train/3/00003_00010_00025.png
85,87,8,8,78,80,3,Train/3/00003_00010_00026.png
100,105,8,9,92,96,3,Train/3/00003_00010_00027.png
124,130,11,11,114,119,3,Train/3/00003_00010_00028.png
148,155,13,13,136,142,3,Train/3/00003_00010_00029.png
26,26,5,5,21,21,3,Train/3/00003_00011_00000.png
27,26,6,5,22,21,3,Train/3/00003_00011_00001.png
27,28,5,6,22,23,3,Train/3/00003_00011_00002.png
28,28,5,5,23,23,3,Train/3/00003_00011_00003.png
28,27,6,5,23,22,3,Train/3/00003_00011_00004.png
29,29,5,5,24,24,3,Train/3/00003_00011_00005.png
31,31,5,5,26,26,3,Train/3/00003_00011_00006.png
33,33,5,5,28,28,3,Train/3/00003_00011_00007.png
36,37,5,6,31,32,3,Train/3/00003_00011_00008.png
36,37,5,6,31,32,3,Train/3/00003_00011_00009.png
36,37,5,6,31,32,3,Train/3/00003_00011_00010.png
36,36,5,5,31,31,3,Train/3/00003_00011_00011.png
36,37,5,6,31,32,3,Train/3/00003_00011_00012.png
38,38,6,6,33,33,3,Train/3/00003_00011_00013.png
38,39,5,6,33,34,3,Train/3/00003_00011_00014.png
42,42,6,5,37,37,3,Train/3/00003_00011_00015.png
41,42,5,5,36,37,3,Train/3/00003_00011_00016.png
44,44,6,5,39,39,3,Train/3/00003_00011_00017.png
43,45,5,6,38,40,3,Train/3/00003_00011_00018.png
46,47,6,6,41,42,3,Train/3/00003_00011_00019.png
47,50,5,6,42,45,3,Train/3/00003_00011_00020.png
52,52,6,5,47,47,3,Train/3/00003_00011_00021.png
58,58,6,5,53,53,3,Train/3/00003_00011_00022.png
59,61,5,6,54,56,3,Train/3/00003_00011_00023.png
61,63,6,6,56,58,3,Train/3/00003_00011_00024.png
69,72,6,7,63,66,3,Train/3/00003_00011_00025.png
79,79,7,7,72,72,3,Train/3/00003_00011_00026.png
87,87,7,7,80,80,3,Train/3/00003_00011_00027.png
103,105,9,10,94,96,3,Train/3/00003_00011_00028.png
119,121,10,10,109,111,3,Train/3/00003_00011_00029.png
29,29,5,5,24,24,3,Train/3/00003_00012_00000.png
30,30,6,6,25,25,3,Train/3/00003_00012_00001.png
30,31,6,6,25,25,3,Train/3/00003_00012_00002.png
31,30,6,5,26,25,3,Train/3/00003_00012_00003.png
31,31,6,5,26,25,3,Train/3/00003_00012_00004.png
31,31,5,5,26,26,3,Train/3/00003_00012_00005.png
32,32,6,5,27,27,3,Train/3/00003_00012_00006.png
33,34,6,6,28,28,3,Train/3/00003_00012_00007.png
33,34,5,6,28,29,3,Train/3/00003_00012_00008.png
34,34,5,5,29,29,3,Train/3/00003_00012_00009.png
34,36,5,6,29,31,3,Train/3/00003_00012_00010.png
36,36,6,5,31,31,3,Train/3/00003_00012_00011.png
36,36,5,5,31,31,3,Train/3/00003_00012_00012.png
37,39,5,6,32,33,3,Train/3/00003_00012_00013.png
38,39,5,6,33,34,3,Train/3/00003_00012_00014.png
40,40,6,5,35,34,3,Train/3/00003_00012_00015.png
42,42,6,6,37,37,3,Train/3/00003_00012_00016.png
41,42,5,6,36,37,3,Train/3/00003_00012_00017.png
43,43,5,5,38,38,3,Train/3/00003_00012_00018.png
45,44,6,5,40,39,3,Train/3/00003_00012_00019.png
47,47,6,6,42,42,3,Train/3/00003_00012_00020.png
49,49,6,6,44,44,3,Train/3/00003_00012_00021.png
51,51,5,5,46,46,3,Train/3/00003_00012_00022.png
54,53,6,5,49,48,3,Train/3/00003_00012_00023.png
56,56,6,6,51,51,3,Train/3/00003_00012_00024.png
59,59,6,6,54,54,3,Train/3/00003_00012_00025.png
65,65,6,6,60,60,3,Train/3/00003_00012_00026.png
68,68,6,6,62,62,3,Train/3/00003_00012_00027.png
73,72,7,6,67,66,3,Train/3/00003_00012_00028.png
80,85,8,8,73,78,3,Train/3/00003_00012_00029.png
29,29,6,6,24,24,3,Train/3/00003_00013_00000.png
29,29,6,6,24,24,3,Train/3/00003_00013_00001.png
29,29,6,6,24,24,3,Train/3/00003_00013_00002.png
29,29,6,6,24,24,3,Train/3/00003_00013_00003.png
29,30,5,6,24,25,3,Train/3/00003_00013_00004.png
30,30,5,5,24,24,3,Train/3/00003_00013_00005.png
31,30,6,5,26,25,3,Train/3/00003_00013_00006.png
31,31,5,5,25,25,3,Train/3/00003_00013_00007.png
32,31,6,5,27,26,3,Train/3/00003_00013_00008.png
32,31,5,5,26,26,3,Train/3/00003_00013_00009.png
34,32,6,5,28,27,3,Train/3/00003_00013_00010.png
34,34,6,5,29,28,3,Train/3/00003_00013_00011.png
36,35,6,6,31,30,3,Train/3/00003_00013_00012.png
36,35,5,5,31,30,3,Train/3/00003_00013_00013.png
38,36,6,5,33,31,3,Train/3/00003_00013_00014.png
39,37,6,5,34,32,3,Train/3/00003_00013_00015.png
41,39,6,5,35,34,3,Train/3/00003_00013_00016.png
41,42,5,6,35,36,3,Train/3/00003_00013_00017.png
43,43,6,6,37,38,3,Train/3/00003_00013_00018.png
44,46,5,6,39,41,3,Train/3/00003_00013_00019.png
47,47,6,5,42,42,3,Train/3/00003_00013_00020.png
49,51,5,6,43,45,3,Train/3/00003_00013_00021.png
53,53,6,6,47,48,3,Train/3/00003_00013_00022.png
55,56,6,6,50,51,3,Train/3/00003_00013_00023.png
59,59,6,6,53,54,3,Train/3/00003_00013_00024.png
62,63,6,6,56,57,3,Train/3/00003_00013_00025.png
65,68,6,7,60,62,3,Train/3/00003_00013_00026.png
74,80,7,8,68,73,3,Train/3/00003_00013_00027.png
82,87,7,7,75,80,3,Train/3/00003_00013_00028.png
92,98,9,9,84,90,3,Train/3/00003_00013_00029.png
29,30,5,6,24,25,3,Train/3/00003_00014_00000.png
30,30,6,6,25,25,3,Train/3/00003_00014_00001.png
29,29,5,5,24,24,3,Train/3/00003_00014_00002.png
30,30,6,5,25,24,3,Train/3/00003_00014_00003.png
30,31,6,6,25,26,3,Train/3/00003_00014_00004.png
31,32,6,6,25,26,3,Train/3/00003_00014_00005.png
30,30,5,5,25,25,3,Train/3/00003_00014_00006.png
32,32,6,6,27,27,3,Train/3/00003_00014_00007.png
31,31,5,5,26,26,3,Train/3/00003_00014_00008.png
33,32,6,6,27,27,3,Train/3/00003_00014_00009.png
33,32,6,5,27,26,3,Train/3/00003_00014_00010.png
33,32,6,5,28,27,3,Train/3/00003_00014_00011.png
34,34,6,6,29,29,3,Train/3/00003_00014_00012.png
35,34,6,5,29,28,3,Train/3/00003_00014_00013.png
35,35,6,6,30,30,3,Train/3/00003_00014_00014.png
34,34,5,5,29,29,3,Train/3/00003_00014_00015.png
35,35,6,6,30,30,3,Train/3/00003_00014_00016.png
37,36,6,6,31,31,3,Train/3/00003_00014_00017.png
37,36,6,6,31,31,3,Train/3/00003_00014_00018.png
37,36,6,5,32,31,3,Train/3/00003_00014_00019.png
38,38,6,5,33,32,3,Train/3/00003_00014_00020.png
38,38,5,5,33,33,3,Train/3/00003_00014_00021.png
39,38,6,5,34,33,3,Train/3/00003_00014_00022.png
39,40,5,6,34,35,3,Train/3/00003_00014_00023.png
41,41,5,5,36,36,3,Train/3/00003_00014_00024.png
44,43,6,5,38,38,3,Train/3/00003_00014_00025.png
45,45,6,6,39,40,3,Train/3/00003_00014_00026.png
47,47,6,5,42,42,3,Train/3/00003_00014_00027.png
48,48,6,5,43,43,3,Train/3/00003_00014_00028.png
50,50,5,5,45,45,3,Train/3/00003_00014_00029.png
29,28,6,5,24,23,3,Train/3/00003_00015_00000.png
29,30,5,6,23,24,3,Train/3/00003_00015_00001.png
30,31,6,6,24,25,3,Train/3/00003_00015_00002.png
30,31,6,6,25,26,3,Train/3/00003_00015_00003.png
30,30,5,5,25,25,3,Train/3/00003_00015_00004.png
30,32,5,6,25,27,3,Train/3/00003_00015_00005.png
32,32,6,6,27,27,3,Train/3/00003_00015_00006.png
33,32,6,5,28,27,3,Train/3/00003_00015_00007.png
33,34,6,6,28,28,3,Train/3/00003_00015_00008.png
34,34,6,6,28,28,3,Train/3/00003_00015_00009.png
34,34,6,6,28,28,3,Train/3/00003_00015_00010.png
34,34,6,6,28,28,3,Train/3/00003_00015_00011.png
34,34,5,6,28,29,3,Train/3/00003_00015_00012.png
